latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.100006,3.699997,4.0,0,GMT,GMT

time,temperature_2m (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),cloudcover (%),windspeed_10m (km/h),windgusts_10m (km/h)
2023-01-01T00:00,15.9,0.00,0.00,0.00,0.00,86,36.9,68.0
2023-01-01T01:00,15.3,0.00,0.00,0.00,0.00,80,37.0,67.7
2023-01-01T02:00,14.8,0.00,0.00,0.00,0.00,70,35.5,64.1
2023-01-01T03:00,14.3,0.00,0.00,0.00,0.00,99,32.1,62.6
2023-01-01T04:00,13.9,0.00,0.00,0.00,0.00,70,27.5,61.2
2023-01-01T05:00,13.3,0.00,0.00,0.00,0.00,100,25.5,56.2
2023-01-01T06:00,12.9,0.00,0.00,0.00,0.00,100,25.5,51.1
2023-01-01T07:00,12.8,0.10,0.10,0.00,0.00,96,25.2,47.5
2023-01-01T08:00,12.8,0.00,0.00,0.00,0.00,100,25.5,47.2
2023-01-01T09:00,12.8,0.00,0.00,0.00,0.00,95,24.8,45.0
2023-01-01T10:00,13.0,0.00,0.00,0.00,0.00,71,21.0,43.6
2023-01-01T11:00,13.3,0.00,0.00,0.00,0.00,86,20.2,43.9
2023-01-01T12:00,13.6,0.00,0.00,0.00,0.00,100,17.9,47.2
2023-01-01T13:00,13.6,0.00,0.00,0.00,0.00,96,19.4,41.0
2023-01-01T14:00,13.3,0.10,0.10,0.00,0.00,100,19.8,33.8
2023-01-01T15:00,12.8,0.30,0.30,0.00,0.00,100,18.1,32.0
2023-01-01T16:00,12.1,0.80,0.80,0.00,0.00,100,17.7,27.0
2023-01-01T17:00,11.4,0.70,0.70,0.00,0.00,100,15.1,20.2
2023-01-01T18:00,11.1,0.70,0.70,0.00,0.00,100,16.0,18.7
2023-01-01T19:00,10.9,0.70,0.70,0.00,0.00,100,16.7,30.6
2023-01-01T20:00,11.0,0.10,0.10,0.00,0.00,100,18.4,32.8
2023-01-01T21:00,11.6,0.00,0.00,0.00,0.00,100,21.9,40.3
2023-01-01T22:00,12.2,0.20,0.20,0.00,0.00,100,23.5,43.9
2023-01-01T23:00,12.4,0.40,0.40,0.00,0.00,100,21.8,45.0
2023-01-02T00:00,12.7,0.60,0.60,0.00,0.00,93,22.7,45.4
2023-01-02T01:00,12.8,0.40,0.40,0.00,0.00,97,23.7,43.6
2023-01-02T02:00,12.6,0.20,0.20,0.00,0.00,100,24.0,48.2
2023-01-02T03:00,12.1,1.00,1.00,0.00,0.00,100,26.6,48.2
2023-01-02T04:00,11.5,0.60,0.60,0.00,0.00,100,25.6,46.4
2023-01-02T05:00,10.8,0.90,0.90,0.00,0.00,100,19.4,33.5
2023-01-02T06:00,10.2,0.80,0.80,0.00,0.00,100,16.1,26.6
2023-01-02T07:00,9.4,0.50,0.50,0.00,0.00,100,15.6,31.0
2023-01-02T08:00,9.0,0.20,0.20,0.00,0.00,92,13.8,27.4
2023-01-02T09:00,8.9,0.20,0.20,0.00,0.00,91,13.3,24.8
2023-01-02T10:00,9.2,0.10,0.10,0.00,0.00,90,11.6,26.3
2023-01-02T11:00,9.8,0.10,0.10,0.00,0.00,100,16.4,34.2
2023-01-02T12:00,9.6,0.30,0.30,0.00,0.00,100,14.3,40.3
2023-01-02T13:00,9.9,0.10,0.10,0.00,0.00,100,13.8,37.1
2023-01-02T14:00,9.5,0.30,0.30,0.00,0.00,59,17.5,37.8
2023-01-02T15:00,9.1,0.00,0.00,0.00,0.00,54,18.2,33.5
2023-01-02T16:00,8.6,0.00,0.00,0.00,0.00,44,15.3,28.4
2023-01-02T17:00,7.7,0.00,0.00,0.00,0.00,33,14.0,23.4
2023-01-02T18:00,7.1,0.00,0.00,0.00,0.00,30,13.0,21.6
2023-01-02T19:00,6.6,0.00,0.00,0.00,0.00,40,12.5,21.6
2023-01-02T20:00,6.5,0.00,0.00,0.00,0.00,49,12.3,21.2
2023-01-02T21:00,6.1,0.00,0.00,0.00,0.00,70,12.2,20.5
2023-01-02T22:00,5.8,0.00,0.00,0.00,0.00,30,12.8,20.5
2023-01-02T23:00,5.6,0.00,0.00,0.00,0.00,15,10.2,19.1
2023-01-03T00:00,5.4,0.00,0.00,0.00,0.00,8,7.4,16.2
2023-01-03T01:00,5.0,0.00,0.00,0.00,0.00,0,7.0,14.0
2023-01-03T02:00,4.5,0.00,0.00,0.00,0.00,8,7.6,15.5
2023-01-03T03:00,4.6,0.00,0.00,0.00,0.00,25,10.0,19.8
2023-01-03T04:00,4.9,0.30,0.30,0.00,0.00,35,11.9,25.2
2023-01-03T05:00,5.2,0.30,0.30,0.00,0.00,37,14.1,27.7
2023-01-03T06:00,5.2,0.00,0.00,0.00,0.00,20,15.5,28.8
2023-01-03T07:00,5.2,0.00,0.00,0.00,0.00,26,15.6,28.1
2023-01-03T08:00,5.2,0.00,0.00,0.00,0.00,23,16.0,29.2
2023-01-03T09:00,5.8,0.00,0.00,0.00,0.00,16,16.6,31.3
2023-01-03T10:00,6.8,0.00,0.00,0.00,0.00,30,16.9,32.0
2023-01-03T11:00,7.8,0.00,0.00,0.00,0.00,74,22.4,42.8
2023-01-03T12:00,8.4,0.00,0.00,0.00,0.00,82,23.0,42.8
2023-01-03T13:00,9.0,0.00,0.00,0.00,0.00,49,20.5,36.4
2023-01-03T14:00,9.5,0.00,0.00,0.00,0.00,63,22.0,39.2
2023-01-03T15:00,9.4,0.00,0.00,0.00,0.00,69,22.2,38.2
2023-01-03T16:00,9.1,0.00,0.00,0.00,0.00,73,24.0,39.6
2023-01-03T17:00,9.2,0.00,0.00,0.00,0.00,100,24.6,43.2
2023-01-03T18:00,9.1,0.40,0.40,0.00,0.00,77,25.5,45.4
2023-01-03T19:00,9.0,0.00,0.00,0.00,0.00,100,27.9,51.5
2023-01-03T20:00,9.4,0.10,0.10,0.00,0.00,100,29.7,55.4
2023-01-03T21:00,9.6,0.20,0.20,0.00,0.00,100,30.8,58.3
2023-01-03T22:00,9.7,0.50,0.50,0.00,0.00,100,32.7,70.6
2023-01-03T23:00,9.4,0.70,0.70,0.00,0.00,100,34.1,71.3
2023-01-04T00:00,9.5,0.80,0.80,0.00,0.00,100,33.7,62.6
2023-01-04T01:00,9.8,0.10,0.10,0.00,0.00,100,31.9,62.6
2023-01-04T02:00,10.3,0.00,0.00,0.00,0.00,100,30.0,60.1
2023-01-04T03:00,10.7,0.00,0.00,0.00,0.00,100,30.5,59.0
2023-01-04T04:00,11.0,0.00,0.00,0.00,0.00,100,30.7,58.0
2023-01-04T05:00,11.3,0.00,0.00,0.00,0.00,100,30.7,56.2
2023-01-04T06:00,11.4,0.10,0.10,0.00,0.00,100,30.3,68.0
2023-01-04T07:00,12.1,0.00,0.00,0.00,0.00,100,31.4,58.7
2023-01-04T08:00,12.3,0.00,0.00,0.00,0.00,100,32.6,61.6
2023-01-04T09:00,12.5,0.10,0.10,0.00,0.00,100,33.1,62.3
2023-01-04T10:00,12.6,0.10,0.10,0.00,0.00,100,30.0,61.6
2023-01-04T11:00,12.7,0.30,0.30,0.00,0.00,100,28.6,58.3
2023-01-04T12:00,12.8,0.40,0.40,0.00,0.00,100,28.5,73.8
2023-01-04T13:00,12.7,0.80,0.80,0.00,0.00,100,29.2,58.0
2023-01-04T14:00,12.6,0.30,0.30,0.00,0.00,100,28.8,58.0
2023-01-04T15:00,12.3,0.20,0.20,0.00,0.00,100,29.8,55.8
2023-01-04T16:00,11.8,0.00,0.00,0.00,0.00,100,29.8,52.2
2023-01-04T17:00,11.4,0.00,0.00,0.00,0.00,100,28.6,50.8
2023-01-04T18:00,11.2,0.00,0.00,0.00,0.00,100,28.1,50.0
2023-01-04T19:00,11.7,0.00,0.00,0.00,0.00,100,26.9,50.8
2023-01-04T20:00,11.7,0.00,0.00,0.00,0.00,94,26.3,49.3
2023-01-04T21:00,11.7,0.00,0.00,0.00,0.00,100,24.7,46.4
2023-01-04T22:00,11.5,0.00,0.00,0.00,0.00,93,22.1,45.0
2023-01-04T23:00,11.3,0.00,0.00,0.00,0.00,73,22.6,45.4
2023-01-05T00:00,11.1,0.00,0.00,0.00,0.00,100,22.3,45.7
2023-01-05T01:00,11.0,0.00,0.00,0.00,0.00,100,22.5,45.7
2023-01-05T02:00,10.9,0.00,0.00,0.00,0.00,100,22.3,45.4
